# x_m, y_m, w_tr_right_m, w_tr_left_m
-3.43861e+01,7.13429e+01,1.10000e+00,1.10000e+00
-3.54454e+01,7.15237e+01,1.10000e+00,1.10000e+00
-3.65025e+01,7.16977e+01,1.10000e+00,1.10000e+00
-3.75582e+01,7.18659e+01,1.10000e+00,1.10000e+00
-3.86129e+01,7.20294e+01,1.10000e+00,1.10000e+00
-3.96673e+01,7.21895e+01,1.10000e+00,1.10000e+00
-4.07220e+01,7.23476e+01,1.10000e+00,1.10000e+00
-4.17773e+01,7.25055e+01,1.10000e+00,1.10000e+00
-4.28334e+01,7.26653e+01,1.10000e+00,1.10000e+00
-4.38905e+01,7.28294e+01,1.10000e+00,1.10000e+00
-4.49483e+01,7.30006e+01,1.10000e+00,1.10000e+00
-4.60065e+01,7.31821e+01,1.10000e+00,1.10000e+00
-4.70643e+01,7.33771e+01,1.10000e+00,1.10000e+00
-4.81211e+01,7.35892e+01,1.10000e+00,1.10000e+00
-4.91756e+01,7.38219e+01,1.10000e+00,1.10000e+00
-5.02265e+01,7.40788e+01,1.10000e+00,1.10000e+00
-5.12723e+01,7.43636e+01,1.10000e+00,1.10000e+00
-5.23113e+01,7.46796e+01,1.10000e+00,1.10000e+00
-5.33414e+01,7.50302e+01,1.10000e+00,1.10000e+00
-5.43606e+01,7.54182e+01,1.10000e+00,1.10000e+00
-5.53663e+01,7.58464e+01,1.10000e+00,1.10000e+00
-5.63561e+01,7.63169e+01,1.10000e+00,1.10000e+00
-5.73272e+01,7.68317e+01,1.10000e+00,1.10000e+00
